Course,Instructor,Term,Title,NetId
ECE-333,"Gross, George",2014-fa,Green Electric Energy,gross
ECE-391,"Borisov, Nikita",2014-fa,Computer Systems Engineering,nikita
ECE-343,"Radhakrishnan, Chandrasek",2014-fa,Electronic Circuits Laboratory,
ECE-444,"Li, Xiuling",2018-sp,IC Device Theory & Fabrication,xiuling
ECE-445,"Carney, Paul S",2013-sp,Senior Design Project Lab,
ECE-313,"Lu, Yi",2018-sp,Probability with Engrg Applic,yilu4
ECE-198,"Kindratenko, Volodymyr",2014-fa,Introduction to Computer Eng,kindrtnk
ECE-534,"Srikant, Rayadurgam",2010-sp,Random Processes,rsrikant
ECE-329,"Goddard, Lynford L",2011-sp,Fields and Waves I,lgoddard
ECE-110,"Schmitz, Christopher",2016-fa,Introduction to Electronics,cdschmit
ECE-569,"Carney, Paul S",2014-fa,Inverse Problems in Optics,
ECE-517,"Liberzon, Daniel M",2015-fa,Nonlinear & Adaptive Control,liberzon
ECE-313,"Lu, Yi",2015-sp,Probability with Engrg Applic,yilu4
ECE-350,"Kudeki, Erhan",2017-fa,Fields and Waves II,erhan
ECE-549,"Hoiem, Derek W",2017-sp,Computer Vision,dhoiem
ECE-470,"Hutchinson, Seth A",2015-fa,Introduction to Robotics,seth
ECE-445,"Reinhard, Karl E",2017-fa,Senior Design Project Lab,
ECE-361,"Veeravalli, Venugopal V",2013-sp,Digital Communications,vvv
ECE-431,"Krein, Philip T",2014-sp,Electric Machinery,krein
ECE-340,"Leburton, Jean-Pierre",2012-sp,Semiconductor Electronics,jleburto
ECE-439,"Kravets, Robin H",2013-fa,Wireless Networks,rhk
ECE-535,"Leburton, Jean-Pierre",2014-fa,Theory of Semicond & Devices,jleburto
ECE-469,"Pilawa, Robert",2013-fa,Power Electronics Laboratory,
ECE-420,"Hasegawa-Johnso, Mark A",2015-fa,Embedded DSP Laboratory,
ECE-290,"Brown, Donna J",2013-sp,Computer Engineering I,djb
ECE-340,"Gilbert, Matthew",2014-sp,Semiconductor Electronics,matthewg
ECE-534,"Katselis, Dimitrios",2018-sp,Random Processes,katselis
ECE-551,"Dokmanic, Ivan",2018-fa,Digital Signal Processing II,dokmanic
ECE-342,"Schutt-Aine, Jose E",2013-sp,Electronic Circuits,jesa
ECE-515,"Mehta, Prashant G",2017-sp,Control System Theory & Design,mehtapg
ECE-420,"Do, Minh N",2013-sp,Embedded DSP Laboratory,minhdo
ECE-329,"Kudeki, Erhan",2012-sp,Fields and Waves I,erhan
ECE-198,"Herman, Geoffrey L",2013-fa,Introduction to Computer Eng,
ECE-304,"Choquette, Kent D",2018-fa,Photonic Devices,choquett
ECE-515,"Baryshnikov, Juliy",2014-fa,Control System Theory & Design,
ECE-101,"Schmitz, Christopher",2013-sp,Exploring Digital Info Technol,cdschmit
ECE-456,"Gao, Xingxin",2013-fa,Global Nav Satellite Systems,
ECE-329,"Dragic, Peter D",2016-sp,Fields and Waves I,p-dragic
ECE-561,"Veeravalli, Venugopal V",2014-sp,Detection & Estimation Theory,vvv
ECE-518,"Li, Xiuling",2015-fa,Adv Semiconductor Nanotech,xiuling
ECE-311,"Lim, Teck Yian",2017-sp,Digital Signal Processing Lab,
ECE-554,"Dominguez-Garci, Alejandr",2015-sp,Dynamic System Reliability,
ECE-110,"Frizzell, Leon A",2010-fa,Intro Elec & Computer Engrg,frizz
ECE-441,"Zhu, Wenjuan",2018-sp,Physcs & Modeling Semicond Dev,wjzhu
ECE-340,"Lee, Minjoo L",2018-sp,Semiconductor Electronics,mllee
ECE-490,"Kiyavash, Negar",2018-sp,Introduction to Optimization,
ECE-549,"Hoiem, Derek W",2011-sp,Computer Vision,dhoiem
ECE-470,"Bretl, Timothy W",2018-sp,Introduction to Robotics,tbretl
ECE-380,"Boppart, Stephen A",2014-sp,Biomedical Imaging,boppart
ECE-551,"Do, Minh N",2015-fa,Digital Signal Processing II,minhdo
ECE-329,"McKeown, Steven J",2013-fa,Fields and Waves I,
ECE-307,"Gross, George",2010-sp,Techniques for Engrg Decisions,gross
ECE-304,"Choquette, Kent D",2014-fa,Photonic Devices,choquett
ECE-342,"Rosenbaum, Elyse",2015-fa,Electronic Circuits,elyse
ECE-220,"Hu, Yih-Chun",2015-fa,Computer Systems & Programming,yihchun
ECE-441,"Leburton, Jean-Pierre",2011-sp,Physcs & Modeling Semicond Dev,jleburto
ECE-330,"Sauer, Peter W",2014-fa,Power Ckts & Electromechanics,psauer
ECE-311,"Bresler, Yoram",2016-fa,Digital Signal Processing Lab,ybresler
ECE-534,"Moulin, Pierre",2010-fa,Random Processes,pmoulin
ECE-441,"Leburton, Jean-Pierre",2016-sp,Physcs & Modeling Semicond Dev,jleburto
ECE-408,"Hwu, Wen-Mei W",2018-sp,Applied Parallel Programming,
ECE-310,"Liang, Zhi-Pei",2017-fa,Digital Signal Processing,z-liang
ECE-526,"Vaidya, Nitin H",2016-fa,Distributed Algorithms,nhv
ECE-206,"Haney, Michael J",2013-fa,Elec & Electronic Circuits Lab,
ECE-483,"Hanumolu, Pavan Kumar",2017-sp,Analog IC Design,hanumolu
ECE-316,"Hillmer, Philip M",2018-sp,Ethics and Engineering,hillmer
ECE-317,"He, Wei",2017-sp,ECE Technology & Management,weihe16
ECE-343,"Radhakrishnan, Chandrasek",2012-fa,Electronic Circuits Laboratory,
ECE-402,"Haken, Lippold",2015-sp,Electronic Music Synthesis,l-haken
ECE-453,"Franke, Steven J",2013-fa,Wireless Communication Systems,s-franke
ECE-547,"Schwing, Alexander G",2017-sp,Topics in Image Processing,aschwing
ECE-210,"Basar, Tangul",2013-sp,Analog Signal Processing,tangul
ECE-518,"Li, Xiuling",2017-fa,Adv Semiconductor Nanotech,xiuling
ECE-411,"Kumar, Rakesh",2015-sp,Computer Organization & Design,rakeshk
ECE-385,"Chan, Sao-Jie",2011-sp,Digital Systems Laboratory,
ECE-310,"Kamalabadi, Farzad",2014-fa,Digital Signal Processing,farzadk
ECE-313,"Basar, Tangul",2010-fa,Probability with Engrg Applic,tangul
ECE-469,"Banerjee, Arijit",2018-fa,Power Electronics Laboratory,arijit
ECE-343,"Radhakrishnan, Chandrasek",2018-sp,Electronic Circuits Laboratory,
ECE-311,"Singer, Andrew C",2013-sp,Digital Signal Processing Lab,acsinger
ECE-310,"Bresler, Yoram",2015-fa,Digital Signal Processing,ybresler
ECE-342,"Hanumolu, Pavan Kumar",2017-fa,Electronic Circuits,hanumolu
ECE-333,"Reinhard, Karl E",2017-sp,Green Electric Energy,
ECE-313,"Viswanath, Pramod",2013-sp,Probability with Engrg Applic,pramodv
ECE-598,"Roy Choudhury, Romit",2017-sp,Mobile Sensing & Sensor Fusion,
ECE-304,"Lee, Minjoo L",2016-fa,Photonic Devices,mllee
ECE-437,"Makela, Jonathan J",2012-fa,Sensors and Instrumentation,jmakela
ECE-220,"Mitra, Sayan",2015-sp,Computer Systems & Programming,mitras
ECE-329,"Waldrop, Lara",2017-sp,Fields and Waves I,lwaldrop
ECE-311,"Liang, Zhi-Pei",2017-fa,Digital Signal Processing Lab,z-liang
ECE-342,"Hanumolu, Pavan Kumar",2016-fa,Electronic Circuits,hanumolu
ECE-534,"Milenkovic, Olgica",2018-fa,Random Processes,milenkov
ECE-329,"Waldrop, Lara",2012-fa,Fields and Waves I,lwaldrop
ECE-439,"Roy Choudhury, Romit",2017-fa,Wireless Networks,
ECE-462,"Patel, Janak H",2016-fa,Logic Synthesis,jhpatel
ECE-330,"Sauer, Peter W",2013-fa,Power Ckts & Electromechanics,psauer
ECE-445,"Makela, Jonathan J",2016-fa,Senior Design Project Lab,jmakela
ECE-350,"Kudeki, Erhan",2016-fa,Fields and Waves II,erhan
ECE-330,"Banerjee, Arijit",2017-sp,Power Ckts & Electromechanics,arijit
ECE-385,"Cheng, Zuofu",2018-fa,Digital Systems Laboratory,zcheng1
ECE-445,"Carney, Paul S",2010-sp,Senior Design Project Lab,
ECE-420,"Levinson, Stephen E",2018-sp,Embedded DSP Laboratory,selevins
ECE-210,"Alvarez, Juan",2018-fa,Analog Signal Processing,alvarez
ECE-304,"Choquette, Kent D",2015-sp,Photonic Devices,choquett
ECE-317,"Frizzell, Leon A",2014-sp,ECE Technology & Management,frizz
ECE-498,"Roy Choudhury, Romit",2016-fa,Smartphone Computing & Appl.,
ECE-313,"Lu, Yi",2016-sp,Probability with Engrg Applic,yilu4
ECE-520,"Chuang, Shun L",2010-sp,EM Waves & Radiating Systems,
ECE-313,"Alvarez, Juan",2011-fa,Probability with Engrg Applic,alvarez
ECE-385,"Meng, Huan-Ting",2015-sp,Digital Systems Laboratory,
ECE-340,"Gilbert, Matthew",2017-sp,Semiconductor Electronics,matthewg
ECE-317,"Frizzell, Leon A",2016-sp,ECE Technology & Management,frizz
ECE-343,"Radhakrishnan, Chandrasek",2015-fa,Electronic Circuits Laboratory,
ECE-350,"Kudeki, Erhan",2014-fa,Fields and Waves II,erhan
ECE-473,"Oelze, Michael L",2016-fa,Fund of Engrg Acoustics,oelze
ECE-464,"Banerjee, Arijit",2018-fa,Power Electronics,arijit
ECE-452,"Cangellaris, Andreas C",2012-fa,Electromagnetic Fields,cangella
ECE-445,"Kumar, Rakesh",2016-sp,Senior Design Project Lab,rakeshk
ECE-410,"Singer, Andrew C",2011-sp,Digital Signal Processing I,acsinger
ECE-544,"Hasegawa-Johnso, Mark A",2016-fa,Pattern Recognition,
ECE-515,"Dullerud, Geir E",2011-fa,Control System Theory & Design,dullerud
ECE-205,"Haney, Michael J",2013-fa,Elec & Electronic Circuits,
ECE-453,"Franke, Steven J",2017-sp,Wireless Communication Systems,s-franke
ECE-313,"Milenkovic, Olgica",2010-sp,Probability with Engrg Applic,milenkov
ECE-120,"Jaramillo Jimen, Juan Jos",2017-sp,Introduction to Computing,
ECE-535,"Leburton, Jean-Pierre",2016-fa,Theory of Semicond & Devices,jleburto
ECE-498,"Roy Choudhury, Romit",2018-sp,Smartphone computing and Appli,
ECE-476,"Dominguez-Garci, Alejandr",2010-fa,Power System Analysis,
ECE-481,"Lyding, Joseph W",2017-sp,Nanotechnology,lyding
ECE-210,"Alvarez, Juan",2016-sp,Analog Signal Processing,alvarez
ECE-199,"Varodayan, David",2017-fa,Undergraduate Open Seminar,
ECE-416,"Cunningham, Brian T",2013-sp,Biosensors,bcunning
ECE-333,"Chen, Yu",2014-sp,Green Electric Energy,
ECE-453,"Franke, Steven J",2011-fa,Wireless Communication Systems,s-franke
ECE-210,"Alvarez, Juan",2013-fa,Analog Signal Processing,alvarez
ECE-451,"Schutt-Aine, Jose E",2017-sp,Adv Microwave Measurements,jesa
ECE-486,"Meyn, Sean P",2011-sp,Control Systems,
ECE-476,"Dominguez-Garci, Alejandr",2017-fa,Power System Analysis,
ECE-342,"Hanumolu, Pavan Kumar",2016-sp,Electronic Circuits,hanumolu
ECE-541,"Sanders, William H",2012-fa,Computer Systems Analysis,whs
ECE-468,"Waldrop, Lara",2016-fa,Optical Remote Sensing,lwaldrop
ECE-342,"Zhou, Jin",2018-fa,Electronic Circuits,jinzhou
ECE-437,"Gruev, Viktor",2018-fa,Sensors and Instrumentation,vgruev
ECE-340,"Feng, Milton",2015-fa,Semiconductor Electronics,mfeng
ECE-206,"Ji, Yuxiao",2015-sp,Elec & Electronic Circuits Lab,
ECE-563,"Veeravalli, Venugopal V",2010-fa,Information Theory,vvv
ECE-205,"Haney, Michael J",2012-fa,Elec & Electronic Circuits,
ECE-398,"Do, Minh N",2014-fa,Making Sense of Big Data,minhdo
ECE-459,"Schmitz, Christopher",2011-fa,Communications Systems,cdschmit
ECE-453,"Franke, Steven J",2015-fa,Wireless Communication Systems,s-franke
ECE-444,"Coleman, James J",2013-sp,IC Device Theory & Fabrication,jcoleman
ECE-544,"Schwing, Alexander G",2017-fa,Pattern Recognition,aschwing
ECE-290,"Kalbarczyk, Zbigniew T",2012-fa,Computer Engineering I,kalbarcz
ECE-314,"Hajek, Bruce",2017-sp,Probability in Engineering Lab,b-hajek
ECE-330,"Sauer, Peter W",2014-sp,Power Ckts & Electromechanics,psauer
ECE-290,"Brown, Donna J",2014-sp,Computer Engineering I,djb
ECE-442,"Rosenbaum, Elyse",2011-sp,Electronic Circuits,elyse
ECE-420,"Do, Minh N",2015-sp,Embedded DSP Laboratory,minhdo
ECE-459,"Schmitz, Christopher",2012-fa,Communications Systems,cdschmit
ECE-205,"Radhakrishnan, Chandrasek",2017-sp,Elec & Electronic Circuits,
ECE-101,"Schmitz, Christopher",2010-sp,Exploring Digital Info Technol,cdschmit
ECE-206,"Wang, Xinhao",2016-sp,Elec & Electronic Circuits Lab,
ECE-205,"Cheng, Zuofu",2015-fa,Elec & Electronic Circuits,zcheng1
ECE-210,"Peck, Timothy L",2010-sp,Analog Signal Processing,
ECE-527,"Chen, Deming",2018-fa,System-On-Chip Design,dchen
ECE-330,"Haran, Kiruba S",2016-fa,Power Ckts & Electromechanics,kharan
ECE-205,"Cheng, Zuofu",2017-fa,Elec & Electronic Circuits,zcheng1
ECE-544,"Schwing, Alexander G",2018-fa,Pattern Recognition,aschwing
ECE-380,"Boppart, Stephen A",2013-sp,Biomedical Imaging,boppart
ECE-120,"Jaramillo Jimen, Juan Jos",2016-sp,Introduction to Computing,
ECE-329,"Schutt-Aine, Jose E",2013-sp,Fields and Waves I,jesa
ECE-206,"Kar, Arunita",2016-fa,Elec & Electronic Circuits Lab,
ECE-564,"Popescu, Gabriel",2015-sp,Modern Light Microscopy,gpopescu
ECE-290,"Rogers, Michael B",2012-sp,Computer Engineering I,
ECE-311,"Robinson, Sarah R",2015-sp,Digital Signal Processing Lab,
ECE-198,"Kindratenko, Volodymyr",2013-sp,Intro to Computer Engineering,kindrtnk
ECE-340,"Zhu, Wenjuan",2017-fa,Semiconductor Electronics,wjzhu
ECE-342,"Schutt-Aine, Jose E",2012-sp,Electronic Circuits,jesa
ECE-411,"Kim, Nam Sung",2017-fa,Computer Organization & Design,
ECE-317,"Peck, Timothy L",2011-fa,ECE Technology & Management,
ECE-442,"Schutt-Aine, Jose E",2010-sp,Electronic Circuits,jesa
ECE-391,"Borisov, Nikita",2010-sp,Computer Systems Engineering,nikita
ECE-350,"Kudeki, Erhan",2013-fa,Fields and Waves II,erhan
ECE-483,"Shanbhag, Naresh R",2013-sp,Analog IC Design,shanbhag
ECE-311,"Wei, Michael",2016-sp,Digital Signal Processing Lab,
ECE-488,"Dallesasse, John M",2018-fa,Compound Semicond & Devices,jdallesa
ECE-476,"Dominguez-Garci, Alejandr",2012-fa,Power System Analysis,
ECE-420,"Do, Minh N",2017-sp,Embedded DSP Laboratory,minhdo
ECE-416,"Cunningham, Brian T",2017-sp,Biosensors,bcunning
ECE-444,"Choquette, Kent D",2010-fa,IC Device Theory & Fabrication,choquett
ECE-408,"Patel, Sanjay J",2018-fa,Applied Parallel Programming,sjp
ECE-418,"Moulin, Pierre",2017-sp,Image & Video Processing,pmoulin
ECE-435,"Caesar, Matthew C",2018-fa,Computer Networking Laboratory,caesar
ECE-420,"Levinson, Stephen E",2011-sp,Digital Signal Processing Lab,selevins
ECE-210,"Leap, John",2012-sp,Analog Signal Processing,
ECE-210,"Basar, Tangul",2012-fa,Analog Signal Processing,tangul
ECE-343,"Radhakrishnan, Chandrasek",2013-fa,Electronic Circuits Laboratory,
ECE-486,"Han, Yun Long",2018-sp,Control Systems,
ECE-476,"Overbye, Thomas J",2016-fa,Power System Analysis,overbye
ECE-402,"Haken, Lippold",2018-sp,Electronic Music Synthesis,l-haken
ECE-481,"Lyding, Joseph W",2018-sp,Nanotechnology,lyding
ECE-549,"Lazebnik, Svetlana",2018-sp,Computer Vision,
ECE-485,"Liu, Gang L",2016-fa,MEMS Devices & Systems,
ECE-490,"Srikant, Rayadurgam",2017-sp,Introduction to Optimization,rsrikant
ECE-526,"Vaidya, Nitin H",2014-fa,Distributed Algorithms,nhv
ECE-411,"Chen, Deming",2011-fa,Computer Organization & Design,dchen
ECE-398,"Carney, Paul S",2015-fa,Innovation and Eng. Design,
ECE-444,"Choquette, Kent D",2015-sp,IC Device Theory & Fabrication,choquett
ECE-445,"Carney, Paul S",2015-sp,Senior Design Project Lab,
ECE-541,"Nicol, David M",2013-fa,Computer Systems Analysis,dmnicol
ECE-329,"Chen, Xu",2016-fa,Fields and Waves I,xuchen1
ECE-520,"Jin, Jianming",2014-fa,EM Waves & Radiating Systems,j-jin1
ECE-411,"Kumar, Rakesh",2016-fa,Computer Organization & Design,rakeshk
ECE-420,"Hasegawa-Johnso, Mark A",2010-sp,Digital Signal Processing Lab,
ECE-403,"Smaragdis, Paris",2014-sp,Audio Engineering,paris
ECE-402,"Haken, Lippold",2014-fa,Electronic Music Synthesis,l-haken
ECE-482,"Shanbhag, Naresh R",2015-fa,Digital IC Design,shanbhag
ECE-549,"Forsyth, David A",2010-sp,Computer Vision,daf
ECE-546,"Schutt-Aine, Jose E",2016-sp,Advanced Signal Integrity,jesa
ECE-464,"Pilawa, Robert",2012-fa,Power Electronics,
ECE-385,"Chen, Deming",2014-fa,Digital Systems Laboratory,dchen
ECE-408,"Patel, Sanjay J",2015-fa,Applied Parallel Programming,sjp
ECE-439,"Kravets, Robin H",2016-fa,Wireless Networks,rhk
ECE-551,"Hasegawa-Johnso, Mark A",2012-fa,Digital Signal Processing II,
ECE-418,"Do, Minh N",2014-sp,Image & Video Processing,minhdo
ECE-598,"Raginsky, Maxim",2014-fa,Statistical Learning Theory,maxim
ECE-454,"Bernhard, Jennifer T",2016-sp,Antennas,jbernhar
ECE-444,"Sievers, Dane J",2016-fa,IC Device Theory & Fabrication,
ECE-205,"Radhakrishnan, Chandrasek",2018-fa,Electrical & Electronic Ckts,
ECE-451,"Schutt-Aine, Jose E",2015-fa,Adv Microwave Measurements,jesa
ECE-485,"Liu, Gang L",2014-fa,MEMS Devices & Systems,
ECE-402,"Haken, Lippold",2018-fa,Electronic Music Synthesis,l-haken
ECE-330,"Schuh, Jonathon K",2018-fa,Power Ckts & Electromechanics,
ECE-417,"Hasegawa-Johnso, Mark A",2015-sp,Multimedia Signal Processing,
ECE-391,"Lumetta, Steven S",2011-fa,Computer Systems Engineering,lumetta
ECE-408,"Hwu, Wen-Mei W",2012-fa,Applied Parallel Programming,
ECE-534,"Srikant, Rayadurgam",2014-fa,Random Processes,rsrikant
ECE-329,"Goddard, Lynford L",2018-sp,Fields and Waves I,lgoddard
ECE-417,"Huang, Thomas S",2013-sp,Multimedia Signal Processing,t-huang1
ECE-329,"Liang, Zhi-Pei",2014-sp,Fields and Waves I,z-liang
ECE-110,"Choi, Hyungsoo",2017-sp,Introduction to Electronics,hyungsoo
ECE-520,"Yan, Su",2016-fa,EM Waves & Radiating Systems,
ECE-430,"Sauer, Peter W",2010-sp,Power Ckts & Electromechanics,psauer
ECE-310,"Bresler, Yoram",2012-fa,Digital Signal Processing,ybresler
ECE-304,"Choquette, Kent D",2013-sp,Photonic Devices,choquett
ECE-380,"Boppart, Stephen A",2018-fa,Biomedical Imaging,boppart
ECE-486,"Raginsky, Maxim",2016-fa,Control Systems,maxim
ECE-316,"Hillmer, Philip M",2017-sp,Ethics and Engineering,hillmer
ECE-470,"Hutchinson, Seth A",2017-fa,Introduction to Robotics,seth
ECE-541,"Noureddine, Mohammad",2018-fa,Computer Systems Analysis,
ECE-333,"Gross, George",2018-fa,Green Electric Energy,gross
ECE-290,"Vasudevan, Shobha",2011-sp,Computer Engineering I,shobhav
ECE-342,"Shanbhag, Naresh R",2018-sp,Electronic Circuits,shanbhag
ECE-313,"Lu, Yi",2014-sp,Probability with Engrg Applic,yilu4
ECE-462,"Vasudevan, Shobha",2011-fa,Logic Design,shobhav
ECE-313,"Zhao, Zhizhen",2016-fa,Probability with Engrg Applic,zhizhenz
ECE-402,"Haken, Lippold",2016-fa,Electronic Music Synthesis,l-haken
ECE-402,"Haken, Lippold",2012-fa,Electronic Music Synthesis,l-haken
ECE-470,"Hutchinson, Seth A",2014-fa,Introduction to Robotics,seth
ECE-190,"Mitra, Sayan",2013-sp,Intro to Computing Systems,mitras
ECE-459,"Alvarez, Juan",2016-fa,Communications Systems,alvarez
ECE-482,"Rosenbaum, Elyse",2017-fa,Digital IC Design,elyse
ECE-488,"Dallesasse, John M",2017-fa,Compound Semicond & Devices,jdallesa
ECE-453,"Franke, Steven J",2013-sp,Wireless Communication Systems,s-franke
ECE-586,"Liberzon, Daniel M",2013-fa,Hybrid Systems and Control,liberzon
ECE-310,"Do, Minh N",2018-sp,Digital Signal Processing,minhdo
ECE-298,"Allen, Jont",2016-fa,Concepts in Engineering Math,jontalle
ECE-527,"Chen, Deming",2010-fa,System-On-Chip Design,dchen
ECE-199,"Varodayan, David",2018-fa,Undergraduate Open Seminar,
ECE-333,"O'Connell, Timothy C",2016-sp,Green Electric Energy,tcoconne
ECE-527,"Chen, Deming",2017-fa,System-On-Chip Design,dchen
ECE-329,"Cangellaris, Andreas C",2010-fa,Fields and Waves I,cangella
ECE-391,"Kalbarczyk, Zbigniew T",2015-fa,Computer Systems Engineering,kalbarcz
ECE-534,"Hajek, Bruce",2011-fa,Random Processes,b-hajek
ECE-440,"Liu, Gang L",2011-sp,Solid State Electronic Devices,
ECE-190,"Hu, Yih-Chun",2010-sp,Intro to Computing Systems,yihchun
ECE-333,"Gross, George",2013-fa,Green Electric Energy,gross
ECE-330,"Radhakrishnan, Chandrasek",2013-sp,Power Ckts & Electromechanics,
ECE-528,"Beck, Carolyn L",2011-sp,Analysis of Nonlinear Systems,beck3
ECE-515,"Liberzon, Daniel M",2017-fa,Control System Theory & Design,liberzon
ECE-485,"Liu, Gang L",2013-fa,MEMS Devices & Systems,
ECE-385,"Chen, Deming",2016-sp,Digital Systems Laboratory,dchen
ECE-342,"Radhakrishnan, Chandrasek",2014-sp,Electronic Circuits,
ECE-488,"Dallesasse, John M",2016-fa,Compound Semicond & Devices,jdallesa
ECE-350,"Gong, Songbin",2018-sp,Fields and Waves II,songbin
ECE-395,"Haken, Lippold",2016-fa,Advanced Digital Projects Lab,l-haken
ECE-340,"Wasserman, Daniel M",2013-sp,Semiconductor Electronics,
ECE-425,"Kindratenko, Volodymyr",2017-fa,Intro to VLSI System Design,kindrtnk
ECE-395,"Haken, Lippold",2010-sp,Advanced Digital Projects Lab,l-haken
ECE-408,"Lumetta, Steven S",2014-fa,Applied Parallel Programming,lumetta
ECE-534,"Raginsky, Maxim",2015-fa,Random Processes,maxim
ECE-343,"Radhakrishnan, Chandrasek",2012-sp,Electronic Circuits Laboratory,
ECE-411,"Kumar, Rakesh",2013-sp,Computer Organization & Design,rakeshk
ECE-541,"Nicol, David M",2016-fa,Computer Systems Analysis,dmnicol
ECE-515,"Hutchinson, Seth A",2014-sp,Control System Theory & Design,seth
ECE-110,"Schmitz, Christopher",2018-fa,Introduction to Electronics,cdschmit
ECE-298,"Allen, Jont",2017-fa,Concepts in Engineering Math,jontalle
ECE-486,"Belabbas, Mohamed Ali",2017-fa,Control Systems,belabbas
