Course,Instructor,Term,Title,NetId
ECE-486,"Liberzon, Daniel M",2012-fa,Control Systems,liberzon
ECE-553,"Liberzon, Daniel M",2013-sp,Optimum Control Systems,liberzon
ECE-190,"Hu, Yih-Chun",2011-sp,Intro to Computing Systems,yihchun
ECE-476,"Overbye, Thomas J",2011-fa,Power System Analysis,overbye
ECE-473,"Oelze, Michael L",2013-fa,Fund of Engrg Acoustics,oelze
ECE-528,"Dullerud, Geir E",2010-sp,Analysis of Nonlinear Systems,dullerud
ECE-398,"Choquette, Kent D",2011-fa,Special Topics in ECE,choquett
ECE-307,"Gross, George",2016-sp,Techniques for Engrg Decisions,gross
ECE-398,"Miller, Andrew E",2018-sp,Smart Contracts & Blockchain S,soc1024
ECE-110,"Schmitz, Christopher",2015-fa,Introduction to Electronics,cdschmit
ECE-411,"Hwu, Wen-Mei W",2014-sp,Computer Organization & Design,
ECE-290,"Loui, Michael C",2013-fa,Computer Engineering I,loui
ECE-343,"Radhakrishnan, Chandrasek",2015-sp,Electronic Circuits Laboratory,
ECE-205,"Cheng, Zuofu",2016-fa,Elec & Electronic Circuits,zcheng1
ECE-402,"Haken, Lippold",2011-fa,Electronic Music Synthesis,l-haken
ECE-453,"Franke, Steven J",2014-fa,Wireless Communication Systems,s-franke
ECE-442,"Schutt-Aine, Jose E",2010-fa,Electronic Circuits,jesa
ECE-459,"Alvarez, Juan",2015-fa,Communications Systems,alvarez
ECE-488,"Feng, Milton",2014-sp,Compound Semicond & Devices,mfeng
ECE-398,"Viswanath, Pramod",2016-sp,Making Sense of Big Data,pramodv
ECE-486,"Raginsky, Maxim",2018-fa,Control Systems,maxim
ECE-464,"Pilawa, Robert",2013-fa,Power Electronics,
ECE-418,"Kamalabadi, Farzad",2013-sp,Image & Video Processing,farzadk
ECE-120,"Varodayan, David",2017-fa,Introduction to Computing,
ECE-316,"Hillmer, Philip M",2013-sp,Ethics and Engineering,hillmer
